,rt,responses,question_order,trial_type,trial_index,time_elapsed,internal_node_id,ID,view_history,key_press,stimulus,agent,condition,image,correct_answer,proportion_correct
401,2095.435000000060,"{""judgement"":1}",[0],survey-likert,401,1114614,0.0-401.0,g7w9ueww,,,,,,,1.0,1
402,1322.7299999999800,"{""confidence"":2}",[0],survey-likert,402,1115938,0.0-402.0,g7w9ueww,,,,,,,,
403,,,,call-function,403,1115938,0.0-403.0,g7w9ueww,,,,,,,,
404,Nothing,,,html-keyboard-response,404,1117440,0.0-404.0,g7w9ueww,,Nothing,['Agent A'],,,,,
405,Nothing,,,video-keyboard-response,405,1120540,0.0-405.0,g7w9ueww,,Nothing,,Agent A,veridical,STIM_SET_2/1592150.bmp_pp77_L3_V1.0_veridical_freeview_isoTrue.mp4,,
406,Nothing,,,html-keyboard-response,406,1122042,0.0-406.0,g7w9ueww,,Nothing,['Agent B'],,,,,
407,Nothing,,,video-keyboard-response,407,1125141,0.0-407.0,g7w9ueww,,Nothing,,Agent B,scrambled,STIM_SET_2/1592150.bmp_pp77_L3_V1.0_scrambled_freeview_isoTrue.mp4,,
408,,,,call-function,408,1125142,0.0-408.0,g7w9ueww,,,,,,,,
409,2010.380000000120,"{""judgement"":0}",[0],survey-likert,409,1127153,0.0-409.0,g7w9ueww,,,,,,,0.0,1
410,1570.030000000030,"{""confidence"":2}",[0],survey-likert,410,1128724,0.0-410.0,g7w9ueww,,,,,,,,
411,,,,call-function,411,1128724,0.0-411.0,g7w9ueww,,,,,,,,
412,Nothing,,,html-keyboard-response,412,1130227,0.0-412.0,g7w9ueww,,Nothing,['Agent A'],,,,,
413,Nothing,,,video-keyboard-response,413,1133323,0.0-413.0,g7w9ueww,,Nothing,,Agent A,scrambled,STIM_SET_2/285684.bmp_pp80_L3_V1.0_scrambled_freeview_isoTrue.mp4,,
414,Nothing,,,html-keyboard-response,414,1134825,0.0-414.0,g7w9ueww,,Nothing,['Agent B'],,,,,
